id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
4hkF25c8/,4hkF25c850,50,47,Attempt saved. Gareth Bale (Real Madrid) left footed shot from outside the box is saved in the bottom left corner. Assisted by Cristiano Ronaldo.,1,12.0,2,Real Madrid,Las Palmas,gareth bale,cristiano ronaldo,,,3.0,1.0,0,15.0,2.0,1,1.0,0
fqqahLZ0/,fqqahLZ01,1,4,"Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box is close, but misses to the right. Assisted by Daniel Carvajal.",1,12.0,1,Real Madrid,Eibar,gareth bale,daniel carvajal,,,9.0,2.0,0,15.0,2.0,1,1.0,0
fqqahLZ0/,fqqahLZ07,7,17,"Goal!  Real Madrid 1, Eibar 1. Gareth Bale (Real Madrid) header from very close range to the centre of the goal. Assisted by Cristiano Ronaldo with a cross.",1,12.0,1,Real Madrid,Eibar,gareth bale,cristiano ronaldo,,,5.0,1.0,1,13.0,3.0,2,1.0,0
fqqahLZ0/,fqqahLZ027,27,42,Attempt missed. Gareth Bale (Real Madrid) header from the centre of the box misses to the right. Assisted by Cristiano Ronaldo with a cross.,1,12.0,1,Real Madrid,Eibar,gareth bale,cristiano ronaldo,,,9.0,2.0,0,3.0,3.0,2,1.0,0
fqqahLZ0/,fqqahLZ059,59,60,Gareth Bale (Real Madrid) hits the right post with a header from the centre of the box. Assisted by Mateo Kovacic.,1,12.0,1,Real Madrid,Eibar,gareth bale,mateo kovacic,,,7.0,4.0,0,3.0,3.0,1,1.0,0
lKNy6v40/,lKNy6v4012,12,11,Attempt blocked. Gareth Bale (Real Madrid) header from the centre of the box is blocked. Assisted by Toni Kroos with a cross.,1,12.0,2,Real Madrid,Real Betis,gareth bale,toni kroos,,,2.0,3.0,0,3.0,3.0,2,1.0,0
lKNy6v40/,lKNy6v4016,16,14,Gareth Bale (Real Madrid) hits the right post with a header from very close range. Assisted by Marcelo with a cross.,1,12.0,2,Real Madrid,Real Betis,gareth bale,marcelo,,,7.0,4.0,0,13.0,3.0,2,1.0,0
lKNy6v40/,lKNy6v4018,18,15,Attempt missed. Gareth Bale (Real Madrid) header from the centre of the box is high and wide to the left. Assisted by Toni Kroos with a cross following a corner.,1,12.0,2,Real Madrid,Real Betis,gareth bale,toni kroos,,,6.0,2.0,0,3.0,3.0,2,3.0,0
lKNy6v40/,lKNy6v4027,27,28,Attempt blocked. Gareth Bale (Real Madrid) left footed shot from outside the box is blocked. Assisted by Karim Benzema.,1,12.0,2,Real Madrid,Real Betis,gareth bale,karim benzema,,,2.0,3.0,0,15.0,2.0,1,1.0,0
dlJG6BfB/,dlJG6BfB24,24,16,Attempt missed. Gareth Bale (Real Madrid) header from the centre of the box is just a bit too high. Assisted by Marcelo with a cross.,1,12.0,1,Real Madrid,Athletic Bilbao,gareth bale,marcelo,,,1.0,2.0,0,3.0,3.0,2,1.0,0
