id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
2y2zSItJ/,2y2zSItJ8,8,8,Attempt saved. Karim Benzema (Real Madrid) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Gonzalo HiguaA­n.,1,12,1,Real Madrid,Mallorca,karim benzema,gonzalo higuain,,,5,1,0,3,2,1,1,0
2y2zSItJ/,2y2zSItJ9,9,8,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the bottom left corner. Assisted by Mesut Ozil.,1,12,1,Real Madrid,Mallorca,karim benzema,mesut ozil,,,3,1,0,15,1,1,1,0
2y2zSItJ/,2y2zSItJ22,22,23,"Goal!  Real Madrid 2, Mallorca 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the bottom right corner. Assisted by Gonzalo HiguaA­n.",1,12,1,Real Madrid,Mallorca,karim benzema,gonzalo higuain,,,4,1,1,3,1,1,1,0
2y2zSItJ/,2y2zSItJ37,37,40,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the bottom left corner. Assisted by Cristiano Ronaldo.,1,12,1,Real Madrid,Mallorca,karim benzema,cristiano ronaldo,,,3,1,0,15,1,1,1,0
EJlhWPM6/,EJlhWPM681,81,72,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by FA¡bio CoentrA£o.,1,12,1,Real Madrid,Valencia,karim benzema,fabio coentrao,,,3,1,0,9,1,1,1,0
EJlhWPM6/,EJlhWPM684,84,73,Attempt missed. Karim Benzema (Real Madrid) right footed shot from outside the box is too high. Assisted by Cristiano Ronaldo.,1,12,1,Real Madrid,Valencia,karim benzema,cristiano ronaldo,,,10,2,0,15,1,1,1,0
8tWd04ym/,8tWd04ym54,54,60,Attempt blocked. Karim Benzema (Real Madrid) left footed shot from the centre of the box is blocked. Assisted by Alvaro Arbeloa with a through ball.,1,12,2,Real Madrid,Getafe,karim benzema,alvaro arbeloa,,,2,3,0,3,2,4,1,0
8vJTdjnh/,8vJTdjnh5,5,5,Attempt missed. Karim Benzema (Real Madrid) header from the right side of the six yard box is high and wide to the right. Assisted by Xabi Alonso with a cross following a set piece situation.,1,12,1,Real Madrid,Granada,karim benzema,xabi alonso,,,6,2,0,12,3,2,2,0
8vJTdjnh/,8vJTdjnh33,33,32,"Attempt missed. Karim Benzema (Real Madrid) right footed shot from the left side of the box is close, but misses to the left. Assisted by Marcelo with a through ball.",1,12,1,Real Madrid,Granada,karim benzema,marcelo,,,8,2,0,9,1,4,1,0
8vJTdjnh/,8vJTdjnh46,46,44,"Attempt missed. Karim Benzema (Real Madrid) right footed shot from the right side of the box is close, but misses to the right. Assisted by Marcelo with a cross.",1,12,1,Real Madrid,Granada,karim benzema,marcelo,,,9,2,0,11,1,2,1,0
8vJTdjnh/,8vJTdjnh98,98,90,"Attempt missed. Karim Benzema (Real Madrid) right footed shot from outside the box is close, but misses to the left. Assisted by Angel Di MarA­a.",1,12,1,Real Madrid,Granada,karim benzema,angel di maria,,,8,2,0,15,1,1,1,0
WGCHe17F/,WGCHe17F99,99,80,Attempt saved. Karim Benzema (Real Madrid) right footed shot from a difficult angle and long range on the left is saved in the top centre of the goal. Assisted by JosA© CallejA³n.,1,12,2,Real Madrid,Sevilla,karim benzema,jose callejon,,,11,1,0,6,1,1,1,0
